TSX,Agellan Commercial Real Estate Investment Trust, ACR ," 214,110,762 "," 23,451,343 ",Real Estate,IPO,20130125,ON,Canada,,,,,,,,,Industrial/Office/Retail/Residential,,,,,,C,,Income Trust,,REIT,,," 4,610,485 "," 42,201,639 "," 11,224 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,AGF Management Limited, AGF ," 880,679,086 "," 86,003,817 ",Financial Services,,19680819,ON,Canada,,,,,1,,,,,,,,,,C,,,,,,," 53,907,013 "," 642,316,947 "," 242,859 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,AgJunction Inc., AJX ," 44,120,660 "," 72,328,951 ",Technology,,19970312,AB,Canada,,,,,,,Software,,,,Agriculture,,,,C,,,,,,," 12,525,844 "," 11,124,723 "," 7,136 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Agnico Eagle Mines Limited, AEM ," 5,576,570,773 "," 209,961,249 ",Mining,,19571227,ON,Canada,TSX-NYSE,,,,60,,,,,,,,,,C,,,,,,," 226,473,798 "," 8,121,624,316 "," 1,380,575 ",10,,,"NU,Quebec",,Mexico,,Finland,,,1,1,1,,,,,,,1,,,,,,,,,
TSX,Agrium Inc., AGU ," 15,847,564,312 "," 143,716,009 ",Mining,,19930420,AB,Canada,TSX-NYSE,,,,60,,,,,,Agriculture,,,,C,,,,,,," 91,647,466 "," 9,222,073,295 "," 647,890 ",10,,,"ON,SK",,,,,ID,,,,,,,,,,,,,1,,,,,,,"Nitrogen,Phosphate"
TSX,AGT Food and Ingredients Inc., AGT ," 559,449,341 "," 20,204,021 ",Diversified Industries,TSXV Grad,20090918,SK,Canada,,,1,,,,,Consumer Products and Services,,,Agriculture,,,,C,,,,,,," 14,850,286 "," 336,028,437 "," 55,117 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Aimia Inc., AIM ," 3,157,178,724 "," 186,926,383 ",Diversified Industries,IPO,20050628,Quebec,Canada,,,,,1,,,Consumer Products and Services,,,,,,,C,,,,,,2008," 96,451,293 "," 1,747,424,869 "," 359,122 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Ainsworth Lumber Co. Ltd., ANS ," 626,447,403 "," 240,941,309 ",Forest Products & Paper,,19930519,BC,Canada,,,,,,,,,,,,,,,C,,,,,,," 115,170,389 "," 366,631,109 "," 142,802 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,Air Canada, AC ," 2,664,619,085 "," 286,192,774 ",Diversified Industries,IPO,20061123,Quebec,Canada,,,,,1,,,Industrial Products and Services,,,,,,,C,,,,,,," 613,406,514 "," 4,900,842,033 "," 1,121,857 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSX,AirBoss of America Corp., BOS ," 228,767,310 "," 22,876,731 ",Diversified Industries,,19920603,ON,Canada,,,,,,,,Consumer Products and Services,,,,,,,C,,,,,,," 7,559,451 "," 68,745,030 "," 6,440 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
